estimate	arms	conditions	record_N	frame_N	point_estimate	lower_95%	upper_95%	seed	replicates
accuracy	plain	source	2653	2400	0.804749340369	0.789533550156	0.819654230699	42	10000
accuracy	plain	grey	2653	2400	0.483226535997	0.464096070854	0.502450195379	42	10000
accuracy	plain	mismatch	2653	2400	0.437994722955	0.418559940700	0.457813888668	42	10000
accuracy	plain	mask	2653	2400	0.646061062948	0.627486875336	0.664787779487	42	10000
accuracy	plain	noise	2653	2400	0.623068224651	0.604808189360	0.641523986358	42	10000
accuracy	plain	mirror	2653	2400	0.799849227290	0.784193982200	0.814801734103	42	10000
source_relative_accuracy_gap	plain	source-minus-grey	2653	2400	0.321522804372	0.300260230374	0.342794441303	42	10000
source_relative_accuracy_gap	plain	source-minus-mismatch	2653	2400	0.366754617414	0.343881012742	0.389270281554	42	10000
source_relative_accuracy_gap	plain	source-minus-mask	2653	2400	0.158688277422	0.141083286661	0.176162407926	42	10000
source_relative_accuracy_gap	plain	source-minus-noise	2653	2400	0.181681115718	0.163615400004	0.199772985244	42	10000
source_relative_accuracy_gap	plain	source-minus-mirror	2653	2400	0.004900113080	-0.003451042227	0.013777599146	42	10000
descriptive_accuracy_difference	plain	mirror-minus-mismatch	2653	2400	0.361854504335	0.339297854394	0.384298893887	42	10000
accuracy	point	source	2653	2400	0.808141726348	0.792971476736	0.822904916099	42	10000
accuracy	point	grey	2653	2400	0.489634376178	0.470233552492	0.508621013255	42	10000
accuracy	point	mismatch	2653	2400	0.434602336977	0.414780165769	0.453458484737	42	10000
accuracy	point	mask	2653	2400	0.622691292876	0.603787343777	0.641559797105	42	10000
accuracy	point	noise	2653	2400	0.631737655484	0.613448297403	0.650018917896	42	10000
accuracy	point	mirror	2653	2400	0.802487749717	0.786879029200	0.817632314836	42	10000
source_relative_accuracy_gap	point	source-minus-grey	2653	2400	0.318507350170	0.297903796479	0.339543939050	42	10000
source_relative_accuracy_gap	point	source-minus-mismatch	2653	2400	0.373539389371	0.351473409296	0.395576274120	42	10000
source_relative_accuracy_gap	point	source-minus-mask	2653	2400	0.185450433472	0.167294649586	0.203166226913	42	10000
source_relative_accuracy_gap	point	source-minus-noise	2653	2400	0.176404070863	0.158310872168	0.194653865603	42	10000
source_relative_accuracy_gap	point	source-minus-mirror	2653	2400	0.005653976630	-0.004528301887	0.015837104072	42	10000
descriptive_accuracy_difference	point	mirror-minus-mismatch	2653	2400	0.367885412740	0.345590507930	0.390060910498	42	10000
accuracy	plain_desc	source	2653	2400	0.814172634753	0.798945683528	0.828937452901	42	10000
accuracy	plain_desc	grey	2653	2400	0.592913682623	0.574004338991	0.611509097514	42	10000
