arm	rank	condition	accuracy	correct_count
plain	1	source	0.804749340369	2135
plain	2	mirror	0.799849227290	2122
plain	3	mask	0.646061062948	1714
plain	4	noise	0.623068224651	1653
plain	5	grey	0.483226535997	1282
plain	6	mismatch	0.437994722955	1162
point	1	source	0.808141726348	2144
point	2	mirror	0.802487749717	2129
point	3	noise	0.631737655484	1676
point	4	mask	0.622691292876	1652
point	5	grey	0.489634376178	1299
point	6	mismatch	0.434602336977	1153
plain_desc	1	source	0.814172634753	2160
plain_desc	2	mirror	0.802864681493	2130
plain_desc	3	mask	0.681115718055	1807
plain_desc	4	noise	0.665284583490	1765
plain_desc	5	grey	0.592913682623	1573
plain_desc	6	mismatch	0.487372785526	1293
point_desc	1	source	0.815303430079	2163
point_desc	2	mirror	0.805126272145	2136
point_desc	3	mask	0.680361854504	1805
point_desc	4	noise	0.680361854504	1805
point_desc	5	grey	0.626460610629	1662
point_desc	6	mismatch	0.519035054655	1377
