arm	condition	N	source_frames	correct_count	wrong_count	accuracy	lower_95%	upper_95%
plain	source	2653	2400	2135	518	0.804749340369	0.789533550156	0.819654230699
plain	grey	2653	2400	1282	1371	0.483226535997	0.464096070854	0.502450195379
plain	mismatch	2653	2400	1162	1491	0.437994722955	0.418559940700	0.457813888668
plain	mask	2653	2400	1714	939	0.646061062948	0.627486875336	0.664787779487
plain	noise	2653	2400	1653	1000	0.623068224651	0.604808189360	0.641523986358
plain	mirror	2653	2400	2122	531	0.799849227290	0.784193982200	0.814801734103
point	source	2653	2400	2144	509	0.808141726348	0.792971476736	0.822904916099
point	grey	2653	2400	1299	1354	0.489634376178	0.470233552492	0.508621013255
point	mismatch	2653	2400	1153	1500	0.434602336977	0.414780165769	0.453458484737
point	mask	2653	2400	1652	1001	0.622691292876	0.603787343777	0.641559797105
point	noise	2653	2400	1676	977	0.631737655484	0.613448297403	0.650018917896
point	mirror	2653	2400	2129	524	0.802487749717	0.786879029200	0.817632314836
plain_desc	source	2653	2400	2160	493	0.814172634753	0.798945683528	0.828937452901
plain_desc	grey	2653	2400	1573	1080	0.592913682623	0.574004338991	0.611509097514
plain_desc	mismatch	2653	2400	1293	1360	0.487372785526	0.467576303311	0.506927419677
plain_desc	mask	2653	2400	1807	846	0.681115718055	0.663137695024	0.698646251408
plain_desc	noise	2653	2400	1765	888	0.665284583490	0.647190481238	0.683396842135
plain_desc	mirror	2653	2400	2130	523	0.802864681493	0.787138021813	0.817674054971
point_desc	source	2653	2400	2163	490	0.815303430079	0.800529777410	0.830004330270
point_desc	grey	2653	2400	1662	991	0.626460610629	0.607372577182	0.644751718881
point_desc	mismatch	2653	2400	1377	1276	0.519035054655	0.499615832329	0.538347656259
point_desc	mask	2653	2400	1805	848	0.680361854504	0.662650375085	0.698142003333
point_desc	noise	2653	2400	1805	848	0.680361854504	0.662396382818	0.698249949992
point_desc	mirror	2653	2400	2136	517	0.805126272145	0.789512899371	0.820000373413
