arm,condition,N,source_frames,source_accuracy,condition_accuracy,source_minus_condition_gap,lower_95%,upper_95%
plain,grey,2653,2400,0.804749340369,0.483226535997,0.321522804372,0.300260230374,0.342794441303
plain,mismatch,2653,2400,0.804749340369,0.437994722955,0.366754617414,0.343881012742,0.389270281554
plain,mask,2653,2400,0.804749340369,0.646061062948,0.158688277422,0.141083286661,0.176162407926
plain,noise,2653,2400,0.804749340369,0.623068224651,0.181681115718,0.163615400004,0.199772985244
plain,mirror,2653,2400,0.804749340369,0.799849227290,0.004900113080,-0.003451042227,0.013777599146
point,grey,2653,2400,0.808141726348,0.489634376178,0.318507350170,0.297903796479,0.339543939050
point,mismatch,2653,2400,0.808141726348,0.434602336977,0.373539389371,0.351473409296,0.395576274120
point,mask,2653,2400,0.808141726348,0.622691292876,0.185450433472,0.167294649586,0.203166226913
point,noise,2653,2400,0.808141726348,0.631737655484,0.176404070863,0.158310872168,0.194653865603
point,mirror,2653,2400,0.808141726348,0.802487749717,0.005653976630,-0.004528301887,0.015837104072
plain_desc,grey,2653,2400,0.814172634753,0.592913682623,0.221258952130,0.201219396448,0.240964084388
plain_desc,mismatch,2653,2400,0.814172634753,0.487372785526,0.326799849227,0.304642825047,0.348950769181
plain_desc,mask,2653,2400,0.814172634753,0.681115718055,0.133056916698,0.115979532920,0.150529906444
plain_desc,noise,2653,2400,0.814172634753,0.665284583490,0.148888051263,0.131892605419,0.166289614040
plain_desc,mirror,2653,2400,0.814172634753,0.802864681493,0.011307953260,0.001878234142,0.021068580646
point_desc,grey,2653,2400,0.815303430079,0.626460610629,0.188842819450,0.170776831289,0.207105281288
point_desc,mismatch,2653,2400,0.815303430079,0.519035054655,0.296268375424,0.275197679196,0.317771084337
point_desc,mask,2653,2400,0.815303430079,0.680361854504,0.134941575575,0.118559344859,0.151219512195
point_desc,noise,2653,2400,0.815303430079,0.680361854504,0.134941575575,0.118291658258,0.151927672159
point_desc,mirror,2653,2400,0.815303430079,0.805126272145,0.010177157934,-0.000377073906,0.020810277147
