arm	condition	N	source_correct	source_wrong	C_to_C	C_to_W	W_to_C	W_to_W	C_to_W/source_correct	C_to_W/N	W_to_C/source_wrong	W_to_C/N	churn_count	churn/N	net_movement_W_to_C_minus_C_to_W	net_movement/N	source_accuracy	condition_accuracy	source_minus_condition_gap	identity_pass
plain	grey	2653	2135	518	1151	984	131	387	0.460889929742	0.370900866943	0.252895752896	0.049378062571	1115	0.420278929514	-853	-0.321522804372	0.804749340369	0.483226535997	0.321522804372	True
plain	mismatch	2653	2135	518	1027	1108	135	383	0.518969555035	0.417640407086	0.260617760618	0.050885789672	1243	0.468526196758	-973	-0.366754617414	0.804749340369	0.437994722955	0.366754617414	True
plain	mask	2653	2135	518	1605	530	109	409	0.248243559719	0.199773840935	0.210424710425	0.041085563513	639	0.240859404448	-421	-0.158688277422	0.804749340369	0.646061062948	0.158688277422	True
plain	noise	2653	2135	518	1538	597	115	403	0.279625292740	0.225028269883	0.222007722008	0.043347154165	712	0.268375424048	-482	-0.181681115718	0.804749340369	0.623068224651	0.181681115718	True
plain	mirror	2653	2135	518	2059	76	63	455	0.035597189696	0.028646814926	0.121621621622	0.023746701847	139	0.052393516773	-13	-0.004900113080	0.804749340369	0.799849227290	0.004900113080	True
point	grey	2653	2144	509	1191	953	108	401	0.444496268657	0.359215981907	0.212180746562	0.040708631738	1061	0.399924613645	-845	-0.318507350170	0.808141726348	0.489634376178	0.318507350170	True
point	mismatch	2653	2144	509	1023	1121	130	379	0.522854477612	0.422540520166	0.255402750491	0.049001130795	1251	0.471541650961	-991	-0.373539389371	0.808141726348	0.434602336977	0.373539389371	True
point	mask	2653	2144	509	1547	597	105	404	0.278451492537	0.225028269883	0.206286836935	0.039577836412	702	0.264606106295	-492	-0.185450433472	0.808141726348	0.622691292876	0.185450433472	True
point	noise	2653	2144	509	1567	577	109	400	0.269123134328	0.217489634376	0.214145383104	0.041085563513	686	0.258575197889	-468	-0.176404070863	0.808141726348	0.631737655484	0.176404070863	True
point	mirror	2653	2144	509	2041	103	88	421	0.048041044776	0.038823972861	0.172888015717	0.033169996231	191	0.071993969092	-15	-0.005653976630	0.808141726348	0.802487749717	0.005653976630	True
plain_desc	grey	2653	2160	493	1440	720	133	360	0.333333333333	0.271390878251	0.269776876268	0.050131926121	853	0.321522804372	-587	-0.221258952130	0.814172634753	0.592913682623	0.221258952130	True
plain_desc	mismatch	2653	2160	493	1154	1006	139	354	0.465740740741	0.379193366001	0.281947261663	0.052393516773	1145	0.431586882774	-867	-0.326799849227	0.814172634753	0.487372785526	0.326799849227	True
plain_desc	mask	2653	2160	493	1693	467	114	379	0.216203703704	0.176027139088	0.231237322515	0.042970222390	581	0.218997361478	-353	-0.133056916698	0.814172634753	0.681115718055	0.133056916698	True
plain_desc	noise	2653	2160	493	1661	499	104	389	0.231018518519	0.188088955899	0.210953346856	0.039200904636	603	0.227289860535	-395	-0.148888051263	0.814172634753	0.665284583490	0.148888051263	True
plain_desc	mirror	2653	2160	493	2062	98	68	425	0.045370370370	0.036939313984	0.137931034483	0.025631360724	166	0.062570674708	-30	-0.011307953260	0.814172634753	0.802864681493	0.011307953260	True
point_desc	grey	2653	2163	490	1560	603	102	388	0.278779472954	0.227289860535	0.208163265306	0.038447041086	705	0.265736901621	-501	-0.188842819450	0.815303430079	0.626460610629	0.188842819450	True
point_desc	mismatch	2653	2163	490	1251	912	126	364	0.421636615811	0.343761779118	0.257142857143	0.047493403694	1038	0.391255182812	-786	-0.296268375424	0.815303430079	0.519035054655	0.296268375424	True
point_desc	mask	2653	2163	490	1713	450	92	398	0.208044382802	0.169619298907	0.187755102041	0.034677723332	542	0.204297022239	-358	-0.134941575575	0.815303430079	0.680361854504	0.134941575575	True
point_desc	noise	2653	2163	490	1707	456	98	392	0.210818307906	0.171880889559	0.200000000000	0.036939313984	554	0.208820203543	-358	-0.134941575575	0.815303430079	0.680361854504	0.134941575575	True
point_desc	mirror	2653	2163	490	2050	113	86	404	0.052242256126	0.042593290614	0.175510204082	0.032416132680	199	0.075009423294	-27	-0.010177157934	0.815303430079	0.805126272145	0.010177157934	True
