estimate_id	estimate	arms	conditions	record_n	source_frame_n	point_estimate	lower_95	upper_95	seed	replicates
primary_mean__plain__grey	mean_raw_final_span_drift	plain	source->grey	2653	2400	0.08352776237402239	0.08213342185785474	0.08497951554971782	42	10000
primary_mean__plain__mismatch	mean_raw_final_span_drift	plain	source->mismatch	2653	2400	0.08823317217458386	0.08691322176737425	0.08955197627291277	42	10000
primary_mean__plain__mask	mean_raw_final_span_drift	plain	source->mask	2653	2400	0.07617629407892755	0.07465944887749053	0.07768888458660143	42	10000
primary_mean__plain__noise	mean_raw_final_span_drift	plain	source->noise	2653	2400	0.07688506537907266	0.07538216430073814	0.0783892170769574	42	10000
primary_mean__plain__mirror	mean_raw_final_span_drift	plain	source->mirror	2652	2399	0.05749535403280416	0.055856406558401024	0.05915391335927913	42	10000
primary_mean__point__grey	mean_raw_final_span_drift	point	source->grey	2653	2400	0.08167412909659807	0.08024389837281827	0.0831031251359656	42	10000
primary_mean__point__mismatch	mean_raw_final_span_drift	point	source->mismatch	2653	2400	0.08856879062936569	0.08725091328794564	0.08990590493803945	42	10000
primary_mean__point__mask	mean_raw_final_span_drift	point	source->mask	2653	2400	0.07576654436360923	0.07427705810408938	0.07726842463962591	42	10000
primary_mean__point__noise	mean_raw_final_span_drift	point	source->noise	2653	2400	0.07454584303595999	0.07305182046717869	0.07605115504341742	42	10000
primary_mean__point__mirror	mean_raw_final_span_drift	point	source->mirror	2653	2400	0.060441277362336045	0.05883096671738659	0.06204293663680678	42	10000
primary_mean__plain_desc__grey	mean_raw_final_span_drift	plain_desc	source->grey	2652	2399	0.07454283294994188	0.07310009508270397	0.07602010276963186	42	10000
primary_mean__plain_desc__mismatch	mean_raw_final_span_drift	plain_desc	source->mismatch	2652	2399	0.07879433707863677	0.07744311800617244	0.08014632857296665	42	10000
primary_mean__plain_desc__mask	mean_raw_final_span_drift	plain_desc	source->mask	2652	2399	0.06688640744258197	0.06540804365771015	0.06836571928404944	42	10000
primary_mean__plain_desc__noise	mean_raw_final_span_drift	plain_desc	source->noise	2651	2398	0.0680865881039214	0.06663891371918372	0.069541354293366	42	10000
primary_mean__plain_desc__mirror	mean_raw_final_span_drift	plain_desc	source->mirror	2651	2398	0.04958730409928692	0.047986222797197955	0.05118983120677522	42	10000
primary_mean__point_desc__grey	mean_raw_final_span_drift	point_desc	source->grey	2653	2400	0.07704757992564351	0.07560335109318013	0.07851448890537793	42	10000
primary_mean__point_desc__mismatch	mean_raw_final_span_drift	point_desc	source->mismatch	2653	2400	0.08904628359592955	0.08752550628830741	0.09056437285645201	42	10000
primary_mean__point_desc__mask	mean_raw_final_span_drift	point_desc	source->mask	2652	2399	0.07156762878549584	0.06999283403486732	0.07311728157044263	42	10000
primary_mean__point_desc__noise	mean_raw_final_span_drift	point_desc	source->noise	2652	2399	0.07054999931455558	0.06899935442396946	0.0721326490967928	42	10000
primary_mean__point_desc__mirror	mean_raw_final_span_drift	point_desc	source->mirror	2652	2399	0.05903591572968669	0.057405049921801544	0.06066065537616101	42	10000
grey_minus_mirror__plain	paired_raw_final_span_drift_difference	plain;plain	grey;mirror	2652	2399	0.026021557223742903	0.024337350789717226	0.02772826397049099	42	10000
mismatch_minus_mirror__plain	paired_raw_final_span_drift_difference	plain;plain	mismatch;mirror	2652	2399	0.030725104551689298	0.02900391775249876	0.03240389617391022	42	10000
grey_minus_mismatch__plain	paired_raw_final_span_drift_difference	plain;plain	grey;mismatch	2653	2400	-0.004705409800561473	-0.006036810331105798	-0.003353590722050586	42	10000
mask_minus_noise__plain	paired_raw_final_span_drift_difference	plain;plain	mask;noise	2653	2400	-0.0007087713001451086	-0.0018737017036064296	0.0004788490019558008	42	10000
grey_minus_mirror__point	paired_raw_final_span_drift_difference	point;point	grey;mirror	2653	2400	0.02123285173426203	0.019589016864109788	0.022942984012795063	42	10000
mismatch_minus_mirror__point	paired_raw_final_span_drift_difference	point;point	mismatch;mirror	2653	2400	0.028127513267029648	0.026443992490206656	0.029860617243944454	42	10000
grey_minus_mismatch__point	paired_raw_final_span_drift_difference	point;point	grey;mismatch	2653	2400	-0.00689466153276762	-0.008250108555848111	-0.0055502891208876895	42	10000
mask_minus_noise__point	paired_raw_final_span_drift_difference	point;point	mask;noise	2653	2400	0.0012207013276492342	-3.395318811825381e-05	0.0024632427445937972	42	10000
grey_minus_mirror__plain_desc	paired_raw_final_span_drift_difference	plain_desc;plain_desc	grey;mirror	2651	2398	0.024942723524790808	0.023174926957086273	0.026678610075893165	42	10000
mismatch_minus_mirror__plain_desc	paired_raw_final_span_drift_difference	plain_desc;plain_desc	mismatch;mirror	2651	2398	0.029194172082510322	0.027478295523946383	0.03092331365720851	42	10000
grey_minus_mismatch__plain_desc	paired_raw_final_span_drift_difference	plain_desc;plain_desc	grey;mismatch	2652	2399	-0.004251504128694894	-0.00569952813626494	-0.002795790679592238	42	10000
mask_minus_noise__plain_desc	paired_raw_final_span_drift_difference	plain_desc;plain_desc	mask;noise	2651	2398	-0.0012214830217609671	-0.0023923411404555613	-0.0001031104471851826	42	10000
grey_minus_mirror__point_desc	paired_raw_final_span_drift_difference	point_desc;point_desc	grey;mirror	2652	2399	0.0179907263089449	0.016305716080851712	0.01964029530673849	42	10000
mismatch_minus_mirror__point_desc	paired_raw_final_span_drift_difference	point_desc;point_desc	mismatch;mirror	2652	2399	0.030000567233940057	0.02811010540242517	0.03186691540821283	42	10000
grey_minus_mismatch__point_desc	paired_raw_final_span_drift_difference	point_desc;point_desc	grey;mismatch	2653	2400	-0.011998703670286028	-0.013603211057793475	-0.010333439146110514	42	10000
mask_minus_noise__point_desc	paired_raw_final_span_drift_difference	point_desc;point_desc	mask;noise	2651	2398	0.0010178905529869768	-0.00018798229969124838	0.0022423015805115264	42	10000
plain_desc_minus_plain__grey	paired_raw_final_span_drift_difference	plain_desc;plain	grey;grey	2652	2399	-0.008973044777348031	-0.010665286056573376	-0.0072816620677267	42	10000
point_desc_minus_point__grey	paired_raw_final_span_drift_difference	point_desc;point	grey;grey	2653	2400	-0.004626549170954561	-0.006368555653800812	-0.0028507124652762273	42	10000
known_answer_minus_image__plain__final_span	paired_known_change_difference	plain	alternate-answer minus grey	200	185	0.025369398593902588	0.019607932682778526	0.03116527774781667	42	10000
known_answer_minus_image__plain__reasoning_only	paired_known_change_difference	plain	alternate-answer minus grey	200	185	0.02637961059808731	0.02055014009812564	0.032129825640526986	42	10000
known_answer_minus_image__plain__answer_choice_masked_final	paired_known_change_difference	plain	alternate-answer minus grey	200	185	0.02570168226957321	0.019909437173339466	0.03149672624940919	42	10000
known_answer_minus_image__point__final_span	paired_known_change_difference	point	alternate-answer minus grey	200	185	0.025221568048000336	0.01966899371111304	0.03059443149152141	42	10000
known_answer_minus_image__point__reasoning_only	paired_known_change_difference	point	alternate-answer minus grey	200	185	0.025362397134304045	0.01984091424214171	0.03082376267883315	42	10000
known_answer_minus_image__point__answer_choice_masked_final	paired_known_change_difference	point	alternate-answer minus grey	200	185	0.024760483801364898	0.01914350931524341	0.030147257569535024	42	10000
known_answer_minus_image__plain_desc__final_span	paired_known_change_difference	plain_desc	alternate-answer minus grey	200	185	0.026340672075748445	0.0198808061670588	0.032766977613823474	42	10000
known_answer_minus_image__plain_desc__reasoning_only	paired_known_change_difference	plain_desc	alternate-answer minus grey	200	185	0.02663071036338806	0.020180850382341558	0.033017154228114284	42	10000
known_answer_minus_image__plain_desc__answer_choice_masked_final	paired_known_change_difference	plain_desc	alternate-answer minus grey	200	185	0.025960497856140137	0.019470098213791247	0.03242844881195047	42	10000
known_answer_minus_image__point_desc__final_span	paired_known_change_difference	point_desc	alternate-answer minus grey	200	185	0.024072005450725555	0.018659851165748916	0.02961693049037662	42	10000
known_answer_minus_image__point_desc__reasoning_only	paired_known_change_difference	point_desc	alternate-answer minus grey	200	185	0.024653193056583405	0.019280550392784142	0.03010131008040893	42	10000
known_answer_minus_image__point_desc__answer_choice_masked_final	paired_known_change_difference	point_desc	alternate-answer minus grey	200	185	0.024170065522193907	0.01873664189565	0.029739295660282068	42	10000
unrelated_mean__plain	mean_unrelated_final_span_drift	plain	source->unrelated source	2653	2400	0.12602278413837287	0.12519954092904145	0.1268478433585872	42	10000
unrelated_mean__point	mean_unrelated_final_span_drift	point	source->unrelated source	2653	2400	0.12519528537348357	0.12442054279102532	0.1259812824208516	42	10000
unrelated_mean__plain_desc	mean_unrelated_final_span_drift	plain_desc	source->unrelated source	2651	2399	0.12226348341927804	0.12141933684649715	0.12308856255257689	42	10000
unrelated_mean__point_desc	mean_unrelated_final_span_drift	point_desc	source->unrelated source	2653	2400	0.12580313100214505	0.12497639006268588	0.12664103950038105	42	10000
description_d_on__plain_desc	mean_image_removal_drift_description_on	plain_desc	source ON->grey ON	200	185	0.06915749400854111	0.0636787141128197	0.0746503168395881	42	10000
description_d_off__plain_desc	mean_image_removal_drift_description_off	plain_desc	source OFF->grey OFF	200	185	0.06960859149694443	0.06443808141028311	0.07486609090791482	42	10000
description_delta__plain_desc	paired_D_off_minus_D_on	plain_desc	description OFF minus ON	200	185	0.0004510974884033203	-0.0050679105923339685	0.005975487912892023	42	10000
