family	arm	condition	raw_generation_n	strict_reasoning_success_n	strict_reasoning_success_rate	strict_final_success_n	strict_final_success_rate	tolerant_reasoning_success_n	tolerant_reasoning_success_rate	tolerant_final_success_n	tolerant_final_success_rate	tolerant_both_success_n	tolerant_both_success_rate	empty_or_missing_tolerant_final_n	finish_eos_or_stop_n	finish_length_n	finish_error_n	record_error_n	source_relative_pairable_final_n	source_relative_pairable_source_frame_n
stage2_primary	plain	grey	2653	2653	1.0	2653	1.0	2653	1.0	2653	1.0	2653	1.0	0	2653	0	0	0	2653	2400
stage2_primary	plain	mask	2653	2653	1.0	2653	1.0	2653	1.0	2653	1.0	2653	1.0	0	2653	0	0	0	2653	2400
stage2_primary	plain	mirror	2653	2652	0.9996230682246513	2652	0.9996230682246513	2653	1.0	2652	0.9996230682246513	2652	0.9996230682246513	1	2652	1	0	0	2652	2399
stage2_primary	plain	mismatch	2653	2653	1.0	2653	1.0	2653	1.0	2653	1.0	2653	1.0	0	2653	0	0	0	2653	2400
stage2_primary	plain	noise	2653	2653	1.0	2653	1.0	2653	1.0	2653	1.0	2653	1.0	0	2653	0	0	0	2653	2400
stage2_primary	plain	source	2653	2653	1.0	2653	1.0	2653	1.0	2653	1.0	2653	1.0	0	2653	0	0	0	2653	2400
stage2_primary	plain_desc	grey	2653	2653	1.0	2653	1.0	2653	1.0	2653	1.0	2653	1.0	0	2653	0	0	0	2652	2399
stage2_primary	plain_desc	mask	2653	2651	0.9992461364493027	2652	0.9996230682246513	2652	0.9996230682246513	2653	1.0	2652	0.9996230682246513	0	2652	1	0	0	2652	2399
stage2_primary	plain_desc	mirror	2653	2647	0.997738409347908	2651	0.9992461364493027	2648	0.9981153411232567	2651	0.9992461364493027	2646	0.9973614775725593	2	2652	1	0	0	2651	2398
stage2_primary	plain_desc	mismatch	2653	2651	0.9992461364493027	2653	1.0	2651	0.9992461364493027	2653	1.0	2651	0.9992461364493027	0	2653	0	0	0	2652	2399
stage2_primary	plain_desc	noise	2653	2650	0.998869204673954	2652	0.9996230682246513	2651	0.9992461364493027	2652	0.9996230682246513	2650	0.998869204673954	1	2652	1	0	0	2651	2398
stage2_primary	plain_desc	source	2653	2652	0.9996230682246513	2652	0.9996230682246513	2653	1.0	2652	0.9996230682246513	2652	0.9996230682246513	1	2652	1	0	0	2652	2399
stage2_primary	point	grey	2653	2652	0.9996230682246513	2652	0.9996230682246513	2653	1.0	2653	1.0	2653	1.0	0	2653	0	0	0	2653	2400
stage2_primary	point	mask	2653	2653	1.0	2653	1.0	2653	1.0	2653	1.0	2653	1.0	0	2653	0	0	0	2653	2400
stage2_primary	point	mirror	2653	2653	1.0	2653	1.0	2653	1.0	2653	1.0	2653	1.0	0	2653	0	0	0	2653	2400
stage2_primary	point	mismatch	2653	2653	1.0	2653	1.0	2653	1.0	2653	1.0	2653	1.0	0	2653	0	0	0	2653	2400
stage2_primary	point	noise	2653	2653	1.0	2653	1.0	2653	1.0	2653	1.0	2653	1.0	0	2653	0	0	0	2653	2400
stage2_primary	point	source	2653	2653	1.0	2653	1.0	2653	1.0	2653	1.0	2653	1.0	0	2653	0	0	0	2653	2400
stage2_primary	point_desc	grey	2653	2651	0.9992461364493027	2651	0.9992461364493027	2653	1.0	2653	1.0	2653	1.0	0	2653	0	0	0	2653	2400
stage2_primary	point_desc	mask	2653	2635	0.9932152280437241	2638	0.9943460233697701	2652	0.9996230682246513	2652	0.9996230682246513	2651	0.9992461364493027	1	2652	1	0	0	2652	2399
stage2_primary	point_desc	mirror	2653	2618	0.9868073878627969	2619	0.9871843196381455	2651	0.9992461364493027	2652	0.9996230682246513	2650	0.998869204673954	1	2651	2	0	0	2652	2399
stage2_primary	point_desc	mismatch	2653	2434	0.917451941198643	2435	0.9178288729739917	2648	0.9981153411232567	2653	1.0	2648	0.9981153411232567	0	2649	4	0	0	2653	2400
stage2_primary	point_desc	noise	2653	2629	0.9909536373916321	2632	0.9920844327176781	2651	0.9992461364493027	2652	0.9996230682246513	2650	0.998869204673954	1	2652	1	0	0	2652	2399
stage2_primary	point_desc	source	2653	2600	0.980022615906521	2603	0.9811534112325669	2652	0.9996230682246513	2653	1.0	2652	0.9996230682246513	0	2653	0	0	0	2653	2400
stage2_known_change	plain	alternate_answer_source_image	200	200	1.0	200	1.0	200	1.0	200	1.0	200	1.0	0	200	0	0	0		
stage2_known_change	plain_desc	alternate_answer_source_image	200	200	1.0	200	1.0	200	1.0	200	1.0	200	1.0	0	200	0	0	0		
stage2_known_change	point	alternate_answer_source_image	200	200	1.0	200	1.0	200	1.0	200	1.0	200	1.0	0	200	0	0	0		
stage2_known_change	point_desc	alternate_answer_source_image	200	199	0.995	199	0.995	200	1.0	200	1.0	200	1.0	0	200	0	0	0		
stage2_description_ablation	plain_desc	grey_description_off	200	200	1.0	200	1.0	200	1.0	200	1.0	200	1.0	0	200	0	0	0		
stage2_description_ablation	plain_desc	source_description_off	200	200	1.0	200	1.0	200	1.0	200	1.0	200	1.0	0	200	0	0	0		
stage2_description_ablation	point_desc	grey_description_off	200	200	1.0	200	1.0	200	1.0	200	1.0	200	1.0	0	200	0	0	0		
stage2_description_ablation	point_desc	source_description_off	200	13	0.065	14	0.07	199	0.995	200	1.0	199	0.995	0	200	0	0	0		
