arm	condition	mean_raw_drift	ci_lower_95	ci_upper_95	n
plain	grey	0.08352776237402239	0.08213342185785474	0.08497951554971782	2653
plain	mismatch	0.08823317217458386	0.08691322176737425	0.08955197627291277	2653
plain	mask	0.07617629407892755	0.07465944887749053	0.07768888458660143	2653
plain	noise	0.07688506537907266	0.07538216430073814	0.0783892170769574	2653
plain	mirror	0.05749535403280416	0.055856406558401024	0.05915391335927913	2652
point	grey	0.08167412909659807	0.08024389837281827	0.0831031251359656	2653
point	mismatch	0.08856879062936569	0.08725091328794564	0.08990590493803945	2653
point	mask	0.07576654436360923	0.07427705810408938	0.07726842463962591	2653
point	noise	0.07454584303595999	0.07305182046717869	0.07605115504341742	2653
point	mirror	0.060441277362336045	0.05883096671738659	0.06204293663680678	2653
plain_desc	grey	0.07454283294994188	0.07310009508270397	0.07602010276963186	2652
plain_desc	mismatch	0.07879433707863677	0.07744311800617244	0.08014632857296665	2652
plain_desc	mask	0.06688640744258197	0.06540804365771015	0.06836571928404944	2652
plain_desc	noise	0.0680865881039214	0.06663891371918372	0.069541354293366	2651
plain_desc	mirror	0.04958730409928692	0.047986222797197955	0.05118983120677522	2651
point_desc	grey	0.07704757992564351	0.07560335109318013	0.07851448890537793	2653
point_desc	mismatch	0.08904628359592955	0.08752550628830741	0.09056437285645201	2653
point_desc	mask	0.07156762878549584	0.06999283403486732	0.07311728157044263	2652
point_desc	noise	0.07054999931455558	0.06899935442396946	0.0721326490967928	2652
point_desc	mirror	0.05903591572968669	0.057405049921801544	0.06066065537616101	2652
