arm	anchor	mean_raw_drift	ci_lower_95	ci_upper_95	n	sample_scope
plain	mirror	0.05749535403280416	0.055856406558401024	0.05915391335927913	2652	full primary population
plain	grey	0.08352776237402239	0.08213342185785474	0.08497951554971782	2653	full primary population
plain	mismatch	0.08823317217458386	0.08691322176737425	0.08955197627291277	2653	full primary population
plain	deliberate_answer_control	0.10330929934978485	0.09889238425750624	0.10751887596907658	200	fixed matched 200-record metric anchor
plain	unrelated_rationale_reference	0.12602278413837287	0.12519954092904145	0.1268478433585872	2653	frozen derangement empirical reference
point	mirror	0.060441277362336045	0.05883096671738659	0.06204293663680678	2653	full primary population
point	grey	0.08167412909659807	0.08024389837281827	0.0831031251359656	2653	full primary population
point	mismatch	0.08856879062936569	0.08725091328794564	0.08990590493803945	2653	full primary population
point	deliberate_answer_control	0.10426488906145095	0.10000155792954495	0.10844341874838656	200	fixed matched 200-record metric anchor
point	unrelated_rationale_reference	0.12519528537348357	0.12442054279102532	0.1259812824208516	2653	frozen derangement empirical reference
plain_desc	mirror	0.04958730409928692	0.047986222797197955	0.05118983120677522	2651	full primary population
plain_desc	grey	0.07454283294994188	0.07310009508270397	0.07602010276963186	2652	full primary population
plain_desc	mismatch	0.07879433707863677	0.07744311800617244	0.08014632857296665	2652	full primary population
plain_desc	deliberate_answer_control	0.09549816042184829	0.09126309486780142	0.09968579074933426	200	fixed matched 200-record metric anchor
plain_desc	unrelated_rationale_reference	0.12226348341927804	0.12141933684649715	0.12308856255257689	2651	frozen derangement empirical reference
point_desc	mirror	0.05903591572968669	0.057405049921801544	0.06066065537616101	2652	full primary population
point_desc	grey	0.07704757992564351	0.07560335109318013	0.07851448890537793	2653	full primary population
point_desc	mismatch	0.08904628359592955	0.08752550628830741	0.09056437285645201	2653	full primary population
point_desc	deliberate_answer_control	0.09799586445093154	0.09346956484846972	0.10246251633410954	200	fixed matched 200-record metric anchor
point_desc	unrelated_rationale_reference	0.12580313100214505	0.12497639006268588	0.12664103950038105	2653	frozen derangement empirical reference
