arm	anchor_or_condition	n	source_frame_n	mean_raw_drift	ci_lower_95	ci_upper_95	sample_scope
plain	identity	definition	definition	0.0			identity by definition
plain	grey	2653	2400	0.08352776237402239	0.08213342185785474	0.08497951554971782	full primary population
plain	mismatch	2653	2400	0.08823317217458386	0.08691322176737425	0.08955197627291277	full primary population
plain	mask	2653	2400	0.07617629407892755	0.07465944887749053	0.07768888458660143	full primary population
plain	noise	2653	2400	0.07688506537907266	0.07538216430073814	0.0783892170769574	full primary population
plain	mirror	2652	2399	0.05749535403280416	0.055856406558401024	0.05915391335927913	full primary population
plain	deliberate_answer_control	200	185	0.10330929934978485	0.09889238425750624	0.10751887596907658	fixed matched 200-record metric anchor
plain	unrelated_rationale_reference	2653	2400	0.12602278413837287	0.12519954092904145	0.1268478433585872	frozen derangement empirical reference
point	identity	definition	definition	0.0			identity by definition
point	grey	2653	2400	0.08167412909659807	0.08024389837281827	0.0831031251359656	full primary population
point	mismatch	2653	2400	0.08856879062936569	0.08725091328794564	0.08990590493803945	full primary population
point	mask	2653	2400	0.07576654436360923	0.07427705810408938	0.07726842463962591	full primary population
point	noise	2653	2400	0.07454584303595999	0.07305182046717869	0.07605115504341742	full primary population
point	mirror	2653	2400	0.060441277362336045	0.05883096671738659	0.06204293663680678	full primary population
point	deliberate_answer_control	200	185	0.10426488906145095	0.10000155792954495	0.10844341874838656	fixed matched 200-record metric anchor
point	unrelated_rationale_reference	2653	2400	0.12519528537348357	0.12442054279102532	0.1259812824208516	frozen derangement empirical reference
plain_desc	identity	definition	definition	0.0			identity by definition
plain_desc	grey	2652	2399	0.07454283294994188	0.07310009508270397	0.07602010276963186	full primary population
plain_desc	mismatch	2652	2399	0.07879433707863677	0.07744311800617244	0.08014632857296665	full primary population
plain_desc	mask	2652	2399	0.06688640744258197	0.06540804365771015	0.06836571928404944	full primary population
plain_desc	noise	2651	2398	0.0680865881039214	0.06663891371918372	0.069541354293366	full primary population
plain_desc	mirror	2651	2398	0.04958730409928692	0.047986222797197955	0.05118983120677522	full primary population
plain_desc	deliberate_answer_control	200	185	0.09549816042184829	0.09126309486780142	0.09968579074933426	fixed matched 200-record metric anchor
plain_desc	unrelated_rationale_reference	2651	2399	0.12226348341927804	0.12141933684649715	0.12308856255257689	frozen derangement empirical reference
point_desc	identity	definition	definition	0.0			identity by definition
point_desc	grey	2653	2400	0.07704757992564351	0.07560335109318013	0.07851448890537793	full primary population
point_desc	mismatch	2653	2400	0.08904628359592955	0.08752550628830741	0.09056437285645201	full primary population
point_desc	mask	2652	2399	0.07156762878549584	0.06999283403486732	0.07311728157044263	full primary population
point_desc	noise	2652	2399	0.07054999931455558	0.06899935442396946	0.0721326490967928	full primary population
point_desc	mirror	2652	2399	0.05903591572968669	0.057405049921801544	0.06066065537616101	full primary population
point_desc	deliberate_answer_control	200	185	0.09799586445093154	0.09346956484846972	0.10246251633410954	fixed matched 200-record metric anchor
point_desc	unrelated_rationale_reference	2653	2400	0.12580313100214505	0.12497639006268588	0.12664103950038105	frozen derangement empirical reference
