contrast_id	contrast	status	left_arm	left_condition	left_mean_drift	right_arm	right_condition	right_mean_drift	paired_n	source_frame_n	mean_difference	ci_lower_95	ci_upper_95
grey_minus_mirror__plain	grey - mirror	planned	plain	grey	0.08352776237402239	plain	mirror	0.05749535403280416	2652	2399	0.026021557223742903	0.024337350789717226	0.02772826397049099
mismatch_minus_mirror__plain	mismatch - mirror	planned	plain	mismatch	0.08823317217458386	plain	mirror	0.05749535403280416	2652	2399	0.030725104551689298	0.02900391775249876	0.03240389617391022
grey_minus_mismatch__plain	grey - mismatch	descriptive planned	plain	grey	0.08352776237402239	plain	mismatch	0.08823317217458386	2653	2400	-0.004705409800561473	-0.006036810331105798	-0.003353590722050586
mask_minus_noise__plain	mask - noise	descriptive planned	plain	mask	0.07617629407892755	plain	noise	0.07688506537907266	2653	2400	-0.0007087713001451086	-0.0018737017036064296	0.0004788490019558008
grey_minus_mirror__point	grey - mirror	planned	point	grey	0.08167412909659807	point	mirror	0.060441277362336045	2653	2400	0.02123285173426203	0.019589016864109788	0.022942984012795063
mismatch_minus_mirror__point	mismatch - mirror	planned	point	mismatch	0.08856879062936569	point	mirror	0.060441277362336045	2653	2400	0.028127513267029648	0.026443992490206656	0.029860617243944454
grey_minus_mismatch__point	grey - mismatch	descriptive planned	point	grey	0.08167412909659807	point	mismatch	0.08856879062936569	2653	2400	-0.00689466153276762	-0.008250108555848111	-0.0055502891208876895
mask_minus_noise__point	mask - noise	descriptive planned	point	mask	0.07576654436360923	point	noise	0.07454584303595999	2653	2400	0.0012207013276492342	-3.395318811825381e-05	0.0024632427445937972
grey_minus_mirror__plain_desc	grey - mirror	planned	plain_desc	grey	0.07454283294994188	plain_desc	mirror	0.04958730409928692	2651	2398	0.024942723524790808	0.023174926957086273	0.026678610075893165
mismatch_minus_mirror__plain_desc	mismatch - mirror	planned	plain_desc	mismatch	0.07879433707863677	plain_desc	mirror	0.04958730409928692	2651	2398	0.029194172082510322	0.027478295523946383	0.03092331365720851
grey_minus_mismatch__plain_desc	grey - mismatch	descriptive planned	plain_desc	grey	0.07454283294994188	plain_desc	mismatch	0.07879433707863677	2652	2399	-0.004251504128694894	-0.00569952813626494	-0.002795790679592238
mask_minus_noise__plain_desc	mask - noise	descriptive planned	plain_desc	mask	0.06688640744258197	plain_desc	noise	0.0680865881039214	2651	2398	-0.0012214830217609671	-0.0023923411404555613	-0.0001031104471851826
grey_minus_mirror__point_desc	grey - mirror	planned	point_desc	grey	0.07704757992564351	point_desc	mirror	0.05903591572968669	2652	2399	0.0179907263089449	0.016305716080851712	0.01964029530673849
mismatch_minus_mirror__point_desc	mismatch - mirror	planned	point_desc	mismatch	0.08904628359592955	point_desc	mirror	0.05903591572968669	2652	2399	0.030000567233940057	0.02811010540242517	0.03186691540821283
grey_minus_mismatch__point_desc	grey - mismatch	descriptive planned	point_desc	grey	0.07704757992564351	point_desc	mismatch	0.08904628359592955	2653	2400	-0.011998703670286028	-0.013603211057793475	-0.010333439146110514
mask_minus_noise__point_desc	mask - noise	descriptive planned	point_desc	mask	0.07156762878549584	point_desc	noise	0.07054999931455558	2651	2398	0.0010178905529869768	-0.00018798229969124838	0.0022423015805115264
plain_desc_minus_plain__grey	plain_desc - plain	planned	plain_desc	grey	0.07454283294994188	plain	grey	0.08352776237402239	2652	2399	-0.008973044777348031	-0.010665286056573376	-0.0072816620677267
point_desc_minus_point__grey	point_desc - point	planned	point_desc	grey	0.07704757992564351	point	grey	0.08167412909659807	2653	2400	-0.004626549170954561	-0.006368555653800812	-0.0028507124652762273
