arm,condition,raw_n,usable_final_n,usable_final_percent,pairable_source_relative_n
plain,source,2653,2653,100.00,2653
plain,grey,2653,2653,100.00,2653
plain,mismatch,2653,2653,100.00,2653
plain,mask,2653,2653,100.00,2653
plain,noise,2653,2653,100.00,2653
plain,mirror,2653,2652,99.96,2652
point,source,2653,2653,100.00,2653
point,grey,2653,2653,100.00,2653
point,mismatch,2653,2653,100.00,2653
point,mask,2653,2653,100.00,2653
point,noise,2653,2653,100.00,2653
point,mirror,2653,2653,100.00,2653
plain_desc,source,2653,2652,99.96,2652
plain_desc,grey,2653,2653,100.00,2652
plain_desc,mismatch,2653,2653,100.00,2652
plain_desc,mask,2653,2653,100.00,2652
plain_desc,noise,2653,2652,99.96,2651
plain_desc,mirror,2653,2651,99.92,2651
point_desc,source,2653,2653,100.00,2653
point_desc,grey,2653,2653,100.00,2653
point_desc,mismatch,2653,2653,100.00,2653
point_desc,mask,2653,2652,99.96,2652
point_desc,noise,2653,2652,99.96,2652
point_desc,mirror,2653,2652,99.96,2652
