contrast,status,left_mean,right_mean,paired_n,mean_difference,ci_95
grey_minus_mirror__plain,planned,0.0835,0.0575,2652,0.0260,"[0.0243, 0.0277]"
mismatch_minus_mirror__plain,planned,0.0882,0.0575,2652,0.0307,"[0.0290, 0.0324]"
grey_minus_mismatch__plain,descriptive planned,0.0835,0.0882,2653,-0.0047,"[-0.0060, -0.0034]"
mask_minus_noise__plain,descriptive planned,0.0762,0.0769,2653,-0.0007,"[-0.0019, 0.0005]"
grey_minus_mirror__point,planned,0.0817,0.0604,2653,0.0212,"[0.0196, 0.0229]"
mismatch_minus_mirror__point,planned,0.0886,0.0604,2653,0.0281,"[0.0264, 0.0299]"
grey_minus_mismatch__point,descriptive planned,0.0817,0.0886,2653,-0.0069,"[-0.0083, -0.0056]"
mask_minus_noise__point,descriptive planned,0.0758,0.0745,2653,0.0012,"[-0.0000, 0.0025]"
grey_minus_mirror__plain_desc,planned,0.0745,0.0496,2651,0.0249,"[0.0232, 0.0267]"
mismatch_minus_mirror__plain_desc,planned,0.0788,0.0496,2651,0.0292,"[0.0275, 0.0309]"
grey_minus_mismatch__plain_desc,descriptive planned,0.0745,0.0788,2652,-0.0043,"[-0.0057, -0.0028]"
mask_minus_noise__plain_desc,descriptive planned,0.0669,0.0681,2651,-0.0012,"[-0.0024, -0.0001]"
grey_minus_mirror__point_desc,planned,0.0770,0.0590,2652,0.0180,"[0.0163, 0.0196]"
mismatch_minus_mirror__point_desc,planned,0.0890,0.0590,2652,0.0300,"[0.0281, 0.0319]"
grey_minus_mismatch__point_desc,descriptive planned,0.0770,0.0890,2653,-0.0120,"[-0.0136, -0.0103]"
mask_minus_noise__point_desc,descriptive planned,0.0716,0.0705,2651,0.0010,"[-0.0002, 0.0022]"
plain_desc_minus_plain__grey,planned,0.0745,0.0835,2652,-0.0090,"[-0.0107, -0.0073]"
point_desc_minus_point__grey,planned,0.0770,0.0817,2653,-0.0046,"[-0.0064, -0.0029]"
